album,album_id,album_link,artist,rating,rev_date,reviewer,year
The Ties That Bind: The River Collection,21306,http://www.pitchfork.com/reviews/albums/21306-the-ties-that-bind-the-river-collection/,Bruce Springsteen,8.7,"December 7, 2015",Stephen Thomas Erlewine,2015
Christmas in Reno,21307,http://www.pitchfork.com/reviews/albums/21307-christmas-in-reno/,Cassie Ramone,7.1,"December 7, 2015",Sarah Sahim,2015
Live and Unreleased: 1997-2000,21283,http://www.pitchfork.com/reviews/albums/21283-live-and-unreleased-1997-2000/,Laddio Bolocko,7.8,"December 7, 2015",Aaron Leitko,2015
Musique Sans Paroles,21280,http://www.pitchfork.com/reviews/albums/21280-musique-sans-paroles/,Various Artists,7.7,"December 7, 2015",Andy Beta,2015
"A Folk Set Apart: Rarities, B-Sides & Space Junk, ETC.",21289,http://www.pitchfork.com/reviews/albums/21289-a-folk-set-apart-rarities-b-sides-space-junk-etc/,Cass McCombs,7,"December 7, 2015",Mike Powell,2015
A Head Full of Dreams,21321,http://www.pitchfork.com/reviews/albums/21321-a-head-full-of-dreams/,Coldplay,4.8,"December 4, 2015",Stuart Berman,2015
iLoveMakonnen 2 EP,21292,http://www.pitchfork.com/reviews/albums/21292-ilovemakonnen-2/,iLoveMakonnen,7.6,"December 4, 2015",Matthew Ramirez,2015
Second Toughest in the Infants,21265,http://www.pitchfork.com/reviews/albums/21265-second-toughest-in-the-infants/,Underworld,8.8,"December 4, 2015",Andrew Gaerig,2015
100 Ladies EP,21318,http://www.pitchfork.com/reviews/albums/21318-100-ladies-ep/,Zora Jones,8,"December 4, 2015",Philip Sherburne,2015
Rivers and Streams,21322,http://www.pitchfork.com/reviews/albums/21322-rivers-and-streams/,Lubomyr Melnyk,7.2,"December 4, 2015",Aaron Leitko,2015
The Return of the Tender Lover,21228,http://www.pitchfork.com/reviews/albums/21228-return-of-the-tender-lover/,Babyface,7.2,"December 3, 2015",Brad Nelson,2015
Civil Circus,20996,http://www.pitchfork.com/reviews/albums/20996-civil-circus/,Diggs Duke,7.4,"December 3, 2015",Marcus J. Moore,2015
Journey Blind,21263,http://www.pitchfork.com/reviews/albums/21263-journey-blind/,Magic Circle,7.6,"December 3, 2015",Andy O'Connor,2015
Wake Up!,21235,http://www.pitchfork.com/reviews/albums/21235-wake-up/,Pope Francis,5,"December 3, 2015",Jia Tolentino,2015
